run,corner,temperature,Vin,Vout
run_0,ss,-40,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.801, …]"
run_1,typical,-40,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.800, …]"
run_2,ff,-40,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.800, …]"
run_3,ss,27,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.800, …]"
run_4,typical,27,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.800, …]"
run_5,ff,27,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.800, …]"
run_6,ss,130,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.800, …]"
run_7,typical,130,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.800, …]"
run_8,ff,130,"[0.000, 0.100, 0.200, …]","[1.800, 1.800, 1.800, …]"
